date,total_cases,total_deaths
2020-03-05,2,0
2020-03-06,2,0
2020-03-07,6,0
2020-03-08,6,0
2020-03-09,11,0
2020-03-10,12,0
2020-03-11,12,0
2020-03-12,16,0
2020-03-13,21,0
2020-03-14,26,0
2020-03-15,35,0
2020-03-16,38,0
2020-03-17,41,0
2020-03-18,49,0
2020-03-19,68,0
2020-03-20,74,0
2020-03-21,82,0
2020-03-22,106,0
2020-03-23,129,0
2020-03-24,150,1
2020-03-25,176,1
2020-03-26,221,2
2020-03-27,277,2
2020-03-28,306,4
2020-03-29,338,5
2020-03-30,372,6
2020-03-31,395,6
2020-04-01,432,7
2020-04-02,450,7
2020-04-03,497,7
2020-04-04,529,8
2020-04-05,568,8
2020-04-06,583,9
2020-04-07,622,9
2020-04-08,676,10
2020-04-09,724,10
2020-04-10,797,13
2020-04-11,857,13
2020-04-12,872,14
2020-04-13,957,15
2020-04-14,987,15
2020-04-15,1013,17
2020-04-16,1019,17
2020-04-17,1058,20
2020-04-18,1137,20
2020-04-19,1157,20
2020-04-20,1216,20
2020-04-21,1231,20
2020-04-22,1233,21
2020-04-23,1302,21
2020-04-24,1340,22
2020-04-25,1354,22
2020-04-26,1408,22
